mag,depth,rad,prov,lat,lon,prov_enco,kmeans,kmedoids
3.6,10.0,74.0,PAPUABRT,-3.92,133.71,1,0.0,2.0
2.6,164.0,3.0,SUMUT,1.49,99.64,2,1.0,1.0
4.5,182.0,165.0,MALUKUTENGAH,-4.6,129.69,3,1.0,1.0
3.2,10.0,116.0,JABAR,-8.5,107.82,4,0.0,2.0
5.0,11.0,129.0,MALUT,1.96,126.6,5,0.0,2.0
3.2,19.0,39.0,MALUKU,-2.87,127.9,6,2.0,0.0
3.1,37.0,12.0,NTT,-9.28,119.17,7,2.0,0.0
3.5,75.0,55.0,NTB,-8.97,118.7,8,1.0,1.0
4.0,10.0,30.0,ACEHTENGAH,4.35,96.81,9,2.0,0.0
3.7,11.0,80.0,PAPUA,-2.14,139.85,10,0.0,2.0
3.2,10.0,49.0,SULTENG,-1.61,120.36,11,2.0,0.0
2.7,10.0,55.0,SULTENG,-1.12,120.31,11,2.0,0.0
3.1,14.0,88.0,GORONTALO,-0.21,121.52,12,0.0,2.0
3.3,10.0,14.0,BENGKULU,-3.57,102.44,13,2.0,0.0
4.1,15.0,96.0,SUMUT,0.26,96.96,2,0.0,2.0
3.1,10.0,42.0,NTT,-10.06,119.76,7,2.0,0.0
3.3,10.0,43.0,NTT,-10.06,119.72,7,2.0,0.0
3.0,10.0,59.0,SUMUT,0.45,98.33,2,0.0,2.0
4.7,191.0,180.0,MALUKUBRTDAYA,-7.38,129.22,14,1.0,1.0
3.2,10.0,34.0,MALUKUTENGAH,-3.38,128.66,3,2.0,0.0
3.3,10.0,45.0,SULTENG,1.22,120.98,11,2.0,0.0
2.1,16.0,47.0,MALUKUTENGAH,-2.88,128.88,3,2.0,0.0
2.3,10.0,36.0,NTB,-8.77,118.85,8,2.0,0.0
3.6,134.0,27.0,PAPUA,-3.37,138.08,10,1.0,1.0
5.1,106.0,490.0,SULUT,8.32,127.56,15,3.0,3.0
3.3,200.0,53.0,MALUT,2.43,128.59,5,1.0,1.0
4.7,190.0,50.0,SULUT,3.51,125.93,15,1.0,1.0
3.4,10.0,177.0,JABAR,-8.75,107.29,4,3.0,3.0
4.1,28.0,40.0,NTT,-9.94,118.89,7,2.0,0.0
2.9,129.0,41.0,GORONTALO,0.26,122.61,12,1.0,1.0
3.6,10.0,48.0,NTT,-8.69,124.37,7,2.0,0.0
3.0,15.0,36.0,NTT,-10.02,119.82,7,2.0,0.0
3.9,10.0,126.0,LAMPUNG,-6.28,103.6,16,0.0,2.0
3.1,10.0,13.0,SULSEL,-2.51,121.27,17,2.0,0.0
3.0,28.0,45.0,BENGKULUSELATAN,-4.85,102.83,18,2.0,0.0
5.2,121.0,221.0,PAPUA,-4.14,142.59,10,3.0,3.0
3.4,14.0,124.0,LAMPUNG,-6.28,103.69,16,0.0,2.0
3.6,10.0,74.0,PAPUABRT,-3.94,133.78,1,0.0,2.0
3.4,30.0,143.0,MALUT,1.79,126.38,5,0.0,2.0
3.5,10.0,103.0,PAPUA,-2.32,140.51,10,0.0,2.0
3.8,10.0,47.0,JAMBI,-2.51,102.25,19,2.0,0.0
3.0,55.0,66.0,JABAR,-7.9,107.86,4,0.0,2.0
3.4,11.0,70.0,NTB,-9.31,116.02,8,0.0,2.0
4.3,10.0,88.0,SULUT,1.65,123.58,15,0.0,2.0
2.5,59.0,48.0,SUMUT,1.92,98.39,2,1.0,1.0
3.8,10.0,9.0,MALUKU,-3.05,130.55,6,2.0,0.0
2.4,10.0,22.0,SUMBAR,-0.11,100.32,20,2.0,0.0
3.0,55.0,79.0,GORONTALO,-0.16,122.96,12,0.0,2.0
2.8,10.0,19.0,SULSEL,-2.48,121.03,17,2.0,0.0
2.2,16.0,22.0,JABAR,-7.13,107.7,4,2.0,0.0
4.0,187.0,61.0,MALUT,2.6,128.27,5,1.0,1.0
