date,mag,depth,prov,kmeans,kmedoids
Nov,2.5,10.0,Maluku,2,4.0
Nov,3.1,10.0,Maluku,2,4.0
Nov,4.7,51.0,Papua,0,3.0
Nov,3.0,26.0,Sulawesi Utara,0,3.0
Nov,3.8,132.0,Sulawesi Utara,0,0.0
Nov,2.6,188.0,Nusa Tenggara Barat,0,0.0
Nov,3.6,10.0,Maluku,1,1.0
Nov,4.6,10.0,Maluku Utara,1,2.0
Nov,3.8,10.0,Sulawesi Selatan,1,1.0
Nov,3.2,42.0,Sulawesi Utara,0,0.0
Nov,3.9,143.0,Nusa Tenggara Barat,0,0.0
Nov,2.6,10.0,Gorontalo,2,4.0
Nov,2.6,81.0,Gorontalo,0,0.0
Nov,2.4,13.0,Aceh,2,3.0
Nov,2.7,11.0,Sumatera Utara,2,4.0
Nov,3.9,19.0,Lampung,2,3.0
Nov,5.1,61.0,Papua,0,0.0
Nov,2.4,10.0,Sulawesi Barat,2,4.0
Nov,2.4,85.0,Sulawesi Tengah,0,0.0
Nov,3.2,89.0,Sulawesi Utara,0,0.0
Nov,3.7,10.0,Aceh,1,1.0
Nov,2.7,21.0,Jawa Barat,0,3.0
Nov,2.9,12.0,Nusa Tenggara Barat,2,4.0
Nov,3.0,10.0,Maluku,2,4.0
Nov,2.3,104.0,Nusa Tenggara Barat,0,0.0
Nov,2.5,26.0,Sulawesi Utara,0,3.0
Nov,3.2,119.0,Maluku Utara,0,0.0
Nov,3.9,144.0,Nusa Tenggara Barat,0,0.0
Nov,4.3,209.0,Maluku,0,0.0
Nov,3.1,10.0,Sulawesi Utara,2,4.0
Nov,3.2,10.0,Maluku,2,4.0
Nov,4.0,10.0,Maluku,1,1.0
Nov,4.1,10.0,Maluku Utara,1,1.0
Nov,4.4,163.0,Nusa Tenggara Barat,0,0.0
Nov,2.3,14.0,Jawa Barat,0,3.0
Nov,2.2,10.0,Maluku,2,4.0
Nov,3.3,10.0,Maluku Utara,2,1.0
Nov,3.4,299.0,Gorontalo,0,0.0
Nov,3.5,10.0,Sulawesi Selatan,1,1.0
Nov,4.6,10.0,Maluku Utara,1,2.0
Nov,5.0,10.0,Maluku Utara,1,2.0
Nov,4.9,10.0,Maluku Utara,1,2.0
Nov,4.7,175.0,Papua,0,0.0
Nov,3.4,66.0,Maluku Utara,0,0.0
Nov,2.5,10.0,Sulawesi Selatan,2,4.0
Nov,3.4,10.0,Aceh,2,1.0
Nov,3.4,10.0,Maluku,2,1.0
Nov,2.6,16.0,Maluku,0,3.0
Nov,2.4,10.0,Nusa Tenggara Barat,2,4.0
Nov,2.8,10.0,Maluku,2,4.0
Nov,3.2,10.0,Maluku Utara,2,4.0
Nov,4.5,207.0,Maluku Utara,0,0.0
Nov,3.4,16.0,Nusa Tenggara Barat,2,4.0
Nov,3.3,10.0,Nusa Tenggara Barat,2,1.0
Nov,4.3,10.0,Papua,1,2.0
Nov,2.5,31.0,Gorontalo,0,0.0
Nov,3.2,41.0,Nusa Tenggara Barat,0,0.0
Nov,3.5,22.0,Nusa Tenggara Barat,0,3.0
Nov,3.0,21.0,Nusa Tenggara Barat,0,3.0
Nov,2.9,10.0,Papua,2,4.0
Nov,4.3,14.0,Papua,2,4.0
Nov,2.8,41.0,Sulawesi Tengah,0,0.0
Nov,3.9,22.0,Sulawesi Tengah,2,3.0
Nov,2.3,163.0,Nusa Tenggara Barat,0,0.0
Nov,3.1,23.0,Nusa Tenggara Barat,0,3.0
Nov,3.4,121.0,Maluku Utara,0,0.0
Nov,3.1,10.0,Sulawesi Barat,2,4.0
Nov,3.9,13.0,Nusa Tenggara Barat,2,4.0
Nov,3.1,51.0,Nusa Tenggara Barat,0,0.0
Nov,3.6,272.0,Maluku,0,0.0
Nov,3.0,14.0,Sulawesi Barat,2,4.0
Nov,2.8,21.0,Nusa Tenggara Barat,0,3.0
Nov,2.5,12.0,Banten,2,3.0
Nov,3.7,10.0,Sulawesi Utara,1,1.0
Nov,4.3,175.0,Maluku,0,0.0
Nov,3.5,21.0,Maluku Utara,2,3.0
Nov,5.2,132.0,Maluku Utara,0,0.0
Nov,4.7,132.0,Maluku Utara,0,0.0
Nov,3.1,21.0,Nusa Tenggara Barat,0,3.0
Nov,3.6,10.0,Jawa Barat,1,1.0
Nov,3.0,50.0,Nusa Tenggara Barat,0,0.0
Nov,1.8,104.0,Daerah Istimewa Yogyakarta,0,0.0
Nov,3.2,12.0,Papua,2,4.0
Nov,3.2,16.0,Banten,2,3.0
Nov,3.6,69.0,Sulawesi Tengah,0,0.0
Nov,4.4,10.0,Nusa Tenggara Barat,1,2.0
Nov,3.5,10.0,Sulawesi Barat,1,1.0
Nov,3.7,45.0,Nusa Tenggara Barat,0,0.0
Nov,3.0,154.0,Nusa Tenggara Barat,0,0.0
Nov,3.1,10.0,Jawa Barat,2,4.0
Nov,2.8,17.0,Papua,2,3.0
Nov,3.3,10.0,Banten,2,1.0
Nov,3.7,153.0,Gorontalo,0,0.0
Nov,3.4,223.0,Nusa Tenggara Barat,0,0.0
Nov,4.3,10.0,Maluku,1,2.0
Nov,2.8,10.0,Papua,2,4.0
Nov,2.5,238.0,Gorontalo,0,0.0
Nov,3.8,31.0,Sulawesi Utara,0,3.0
Nov,3.1,10.0,Papua,2,4.0
Nov,2.9,85.0,Maluku Utara,0,0.0
Nov,2.4,16.0,Sulawesi Tengah,0,3.0
Nov,4.6,130.0,Sulawesi Utara,0,0.0
Nov,2.3,5.0,Sulawesi Tengah,1,2.0
Nov,3.4,99.0,Sulawesi Utara,0,0.0
Nov,2.0,5.0,Sulawesi Tengah,1,1.0
Nov,4.6,5.0,Papua,1,2.0
Nov,3.1,27.0,Sulawesi Utara,0,3.0
Nov,2.1,5.0,Nusa Tenggara Barat,1,1.0
Nov,3.4,534.0,Maluku Utara,0,0.0
Nov,3.0,5.0,Papua,1,2.0
Nov,2.4,153.0,Nusa Tenggara Barat,0,0.0
Nov,2.5,18.0,Gorontalo,0,3.0
Nov,4.8,148.0,Papua,0,0.0
Nov,2.8,15.0,Sumatera Utara,2,3.0
Nov,3.3,19.0,Papua,2,3.0
Nov,3.3,10.0,Maluku,2,1.0
Nov,2.6,5.0,Papua,1,2.0
Nov,2.6,5.0,Sulawesi Tengah,1,2.0
Nov,3.8,142.0,Gorontalo,0,0.0
Nov,3.3,205.0,Maluku Utara,0,0.0
Nov,2.8,10.0,Sulawesi Selatan,2,4.0
Nov,2.8,102.0,Gorontalo,0,0.0
Nov,3.6,19.0,Jawa Barat,2,3.0
Nov,3.7,73.0,Maluku,0,0.0
Nov,3.4,21.0,Maluku,0,3.0
Nov,3.7,32.0,Maluku,0,3.0
Nov,3.2,10.0,Maluku,2,4.0
Nov,3.9,10.0,Sumatera Barat,1,1.0
Nov,2.3,52.0,Nusa Tenggara Barat,0,0.0
Nov,2.8,150.0,Maluku,0,0.0
Nov,3.9,10.0,Maluku,1,1.0
Nov,2.6,102.0,Gorontalo,0,0.0
Nov,3.3,111.0,Papua,0,0.0
Nov,4.2,127.0,Maluku,0,0.0
Nov,3.6,138.0,Maluku,0,0.0
Nov,4.6,10.0,Sulawesi Utara,1,2.0
Nov,3.5,16.0,Nusa Tenggara Barat,2,4.0
Nov,3.0,11.0,Sulawesi Utara,2,4.0
Nov,4.2,148.0,Maluku,0,0.0
Nov,2.7,10.0,Maluku Utara,2,4.0
Nov,3.3,11.0,Nusa Tenggara Barat,2,4.0
Nov,3.7,10.0,Nusa Tenggara Barat,1,1.0
Nov,4.8,77.0,Maluku,0,0.0
Nov,2.3,12.0,Nusa Tenggara Barat,2,3.0
Nov,2.5,69.0,Gorontalo,0,0.0
Nov,2.5,10.0,Nusa Tenggara Barat,2,4.0
Nov,2.2,27.0,Nusa Tenggara Barat,0,0.0
Nov,2.4,45.0,Nusa Tenggara Barat,0,0.0
Nov,2.5,13.0,Nusa Tenggara Barat,2,3.0
Nov,2.7,504.0,Nusa Tenggara Barat,0,0.0
Nov,2.6,55.0,Aceh,0,0.0
Nov,2.7,19.0,Nusa Tenggara Barat,0,3.0
Nov,4.2,69.0,Gorontalo,0,0.0
Nov,4.1,18.0,Jawa Barat,2,4.0
Nov,2.9,17.0,Nusa Tenggara Barat,2,3.0
Nov,3.8,20.0,Nusa Tenggara Barat,2,3.0
Nov,3.3,10.0,Nusa Tenggara Barat,2,1.0
Nov,3.9,197.0,Maluku,0,0.0
Nov,4.2,15.0,Nusa Tenggara Barat,2,4.0
Nov,2.9,90.0,Nusa Tenggara Barat,0,0.0
Nov,3.6,10.0,Nusa Tenggara Barat,1,1.0
Nov,2.9,10.0,Nusa Tenggara Barat,2,4.0
Nov,3.9,15.0,Nusa Tenggara Barat,2,4.0
Nov,4.0,14.0,Papua,2,4.0
Nov,3.7,10.0,Sulawesi Utara,1,1.0
Nov,2.7,10.0,Bali,2,4.0
Nov,3.0,25.0,Nusa Tenggara Barat,0,3.0
Nov,3.5,31.0,Sulawesi Utara,0,3.0
Nov,2.2,10.0,Papua,2,4.0
Nov,2.2,26.0,Nusa Tenggara Barat,0,0.0
Nov,4.2,10.0,Sulawesi Utara,1,1.0
Nov,1.8,16.0,Nusa Tenggara Barat,0,3.0
Nov,3.6,31.0,Sumatera Barat,0,3.0
Nov,2.6,10.0,Maluku,2,4.0
Nov,2.7,10.0,Maluku,2,4.0
Nov,3.2,13.0,Papua,2,4.0
Nov,2.9,21.0,Sulawesi Tenggara,0,3.0
Nov,3.2,10.0,Aceh,2,4.0
Nov,3.8,59.0,Maluku,0,0.0
Nov,4.4,69.0,Sulawesi Utara,0,0.0
Nov,2.1,5.0,Sulawesi Tenggara,1,1.0
Nov,4.8,156.0,Sulawesi Utara,0,0.0
Nov,2.8,14.0,Gorontalo,2,3.0
Nov,3.1,24.0,Nusa Tenggara Barat,0,3.0
Nov,2.3,23.0,Papua,0,3.0
Nov,3.8,11.0,Maluku Utara,2,1.0
Nov,2.1,13.0,Papua,0,3.0
Nov,4.2,10.0,Gorontalo,1,1.0
Nov,2.4,222.0,Maluku,0,0.0
Nov,3.9,10.0,Maluku,1,1.0
Nov,2.8,90.0,Gorontalo,0,0.0
Nov,4.4,195.0,Maluku,0,0.0
Nov,3.1,13.0,Nusa Tenggara Barat,2,4.0
Nov,2.6,10.0,Jawa Barat,2,4.0
Nov,3.1,12.0,Nusa Tenggara Barat,2,4.0
Nov,3.9,10.0,Maluku Utara,1,1.0
Nov,3.1,10.0,Maluku,2,4.0
Nov,2.8,22.0,Nusa Tenggara Barat,0,3.0
Nov,5.0,17.0,Sulawesi Utara,2,4.0
Nov,4.9,28.0,Sulawesi Utara,2,3.0
Nov,2.2,10.0,Aceh,2,4.0
Nov,3.2,15.0,Nusa Tenggara Barat,2,4.0
Nov,3.1,10.0,Maluku,2,4.0
Nov,3.7,18.0,Nusa Tenggara Barat,2,3.0
Nov,4.1,10.0,Maluku,1,1.0
Nov,3.4,22.0,Banten,0,3.0
Nov,3.1,10.0,Gorontalo,2,4.0
Nov,3.8,10.0,Maluku,1,1.0
Nov,4.2,10.0,Maluku,1,1.0
Nov,3.2,89.0,Maluku Utara,0,0.0
Nov,3.3,26.0,Maluku Utara,0,3.0
Nov,3.1,104.0,Maluku Utara,0,0.0
Nov,6.6,109.0,Maluku Utara,0,0.0
Nov,6.1,116.0,Maluku Utara,0,0.0
Nov,5.0,61.0,Papua,0,0.0
Nov,4.0,16.0,Nusa Tenggara Barat,2,4.0
Nov,3.6,10.0,Jawa Timur,1,1.0
Nov,3.6,25.0,Aceh,0,3.0
Nov,2.1,10.0,Sulawesi Tengah,2,4.0
Nov,3.2,10.0,Maluku,2,4.0
Nov,3.2,14.0,Sulawesi Utara,2,4.0
Nov,2.4,22.0,Aceh,0,3.0
Nov,3.5,26.0,Sulawesi Utara,0,3.0
Nov,3.4,52.0,Sumatera Utara,0,0.0
Nov,2.6,49.0,Bengkulu,0,0.0
Nov,5.5,10.0,Papua,1,2.0
Nov,5.5,10.0,Papua,1,2.0
Nov,2.8,10.0,Papua,2,4.0
Nov,3.3,13.0,Papua,2,4.0
Nov,3.7,48.0,Sulawesi Tengah,0,0.0
Nov,3.3,19.0,Bengkulu,2,3.0
Nov,3.1,20.0,Aceh,0,3.0
Nov,2.9,16.0,Sulawesi Tengah,2,3.0
Nov,2.6,21.0,Gorontalo,0,3.0
Nov,4.1,10.0,Maluku,1,1.0
Nov,4.5,218.0,Sulawesi Utara,0,0.0
Nov,5.3,21.0,Sulawesi Utara,2,4.0
Nov,5.2,18.0,Sulawesi Utara,2,4.0
Nov,2.2,10.0,Nusa Tenggara Barat,2,4.0
Nov,2.2,10.0,Maluku Utara,2,4.0
Nov,3.4,29.0,Gorontalo,0,3.0
Nov,2.9,45.0,Banten,0,0.0
Nov,4.4,10.0,Maluku,1,2.0
Nov,3.2,10.0,Maluku Utara,2,4.0
Nov,3.2,28.0,Nusa Tenggara Barat,0,3.0
Nov,3.8,214.0,Maluku,0,0.0
Nov,3.2,33.0,Bengkulu,0,3.0
Nov,2.3,10.0,Nusa Tenggara Barat,2,4.0
Nov,3.8,10.0,Maluku,1,1.0
Nov,2.6,11.0,Jawa Barat,2,4.0
Nov,2.4,179.0,Gorontalo,0,0.0
Nov,5.3,10.0,Sulawesi Utara,1,2.0
Nov,3.8,15.0,Papua,2,4.0
Nov,3.1,102.0,Sulawesi Utara,0,0.0
Nov,4.4,81.0,Sulawesi Utara,0,0.0
Nov,2.2,30.0,Sulawesi Tengah,0,0.0
Nov,4.1,388.0,Nusa Tenggara Barat,0,0.0
Nov,3.0,19.0,Jawa Timur,0,3.0
Nov,4.4,10.0,Jawa Timur,1,2.0
Nov,3.6,13.0,Maluku,2,4.0
Nov,4.6,10.0,Maluku,1,2.0
Nov,2.5,90.0,Maluku,0,0.0
Nov,3.3,19.0,Jawa Barat,2,3.0
Nov,2.9,32.0,Gorontalo,0,3.0
Nov,3.6,31.0,Nusa Tenggara Barat,0,3.0
Nov,3.6,10.0,Sulawesi Tengah,1,1.0
Nov,3.2,155.0,Sumatera Utara,0,0.0
Nov,3.0,11.0,Sulawesi Tenggara,2,4.0
Nov,3.8,158.0,Maluku,0,0.0
Nov,5.1,214.0,Sulawesi Utara,0,0.0
Nov,3.5,10.0,Papua,1,1.0
Nov,4.0,112.0,Gorontalo,0,0.0
Nov,3.5,10.0,Jawa Barat,1,1.0
Nov,4.7,15.0,Sulawesi Utara,2,4.0
Nov,4.0,10.0,Maluku,1,1.0
Nov,4.4,10.0,Sulawesi Tengah,1,2.0
Nov,2.1,38.0,Banten,0,0.0
Nov,3.9,163.0,Maluku,0,0.0
Nov,3.5,10.0,Maluku,1,1.0
Nov,2.9,10.0,Nusa Tenggara Barat,2,4.0
Nov,2.5,10.0,Maluku,2,4.0
Nov,3.4,49.0,Jawa Tengah,0,0.0
Nov,2.7,10.0,Maluku,2,4.0
Nov,3.6,10.0,Sulawesi Tengah,1,1.0
