mag,depth,lat,lon,rad,pga,loc_encoded
3.6,10,-3.92,133.71,74,2,1
2.6,164,1.49,99.64,3,2,2
4.5,182,-4.6,129.69,165,2,3
3.2,10,-8.5,107.82,116,2,4
5.0,11,1.96,126.6,129,2,5
3.2,19,-2.87,127.9,39,2,6
3.1,37,-9.28,119.17,12,2,7
3.5,75,-8.97,118.7,55,2,8
4.0,10,4.35,96.81,30,2,9
3.7,11,-2.14,139.85,80,2,10
3.2,10,-1.61,120.36,49,2,11
2.7,10,-1.12,120.31,55,2,11
3.1,14,-0.21,121.52,88,2,12
3.3,10,-3.57,102.44,14,2,13
4.1,15,0.26,96.96,96,2,2
3.1,10,-10.06,119.76,42,2,7
3.3,10,-10.06,119.72,43,2,7
3.0,10,0.45,98.33,59,2,2
4.7,191,-7.38,129.22,180,2,14
3.2,10,-3.38,128.66,34,2,3
3.3,10,1.22,120.98,45,2,11
2.1,16,-2.88,128.88,47,2,3
2.3,10,-8.77,118.85,36,2,8
3.6,134,-3.37,138.08,27,2,10
5.1,106,8.32,127.56,490,2,15
3.3,200,2.43,128.59,53,2,5
4.7,190,3.51,125.93,50,2,15
3.4,10,-8.75,107.29,177,2,4
4.1,28,-9.94,118.89,40,2,7
2.9,129,0.26,122.61,41,2,12
3.6,10,-8.69,124.37,48,2,7
3.0,15,-10.02,119.82,36,2,7
3.9,10,-6.28,103.6,126,2,16
3.1,10,-2.51,121.27,13,2,17
3.0,28,-4.85,102.83,45,2,18
5.3,121,-4.14,142.59,129,2,19
5.2,121,-4.14,142.59,221,2,10
3.4,14,-6.28,103.69,124,2,16
3.6,10,-3.94,133.78,74,2,1
3.4,30,1.79,126.38,143,2,5
3.5,10,-2.32,140.51,103,2,10
3.8,10,-2.51,102.25,47,2,20
3.0,55,-7.9,107.86,66,2,4
3.4,11,-9.31,116.02,70,2,8
4.3,10,1.65,123.58,88,2,15
2.5,59,1.92,98.39,48,2,2
3.8,10,-3.05,130.55,9,2,6
2.4,10,-0.11,100.32,22,2,21
3.0,55,-0.16,122.96,79,2,12
2.8,10,-2.48,121.03,19,2,17
2.2,16,-7.13,107.7,22,2,4
4.0,187,2.6,128.27,61,2,5
3.0,125,-0.08,123.08,68,2,12
3.1,10,-8.57,106.06,183,2,22
2.3,424,0.84,122.23,36,2,12
4.5,10,1.63,128.56,36,2,5
4.7,159,4.58,125.94,104,2,15
4.2,10,-4.57,99.22,285,2,21
4.9,122,-8.58,119.12,43,2,8
5.7,10,-3.2,144.58,424,2,10
3.2,10,-1.99,134.29,96,2,1
3.1,10,-8.24,121.17,50,2,7
3.9,10,-8.25,121.15,50,2,7
3.5,10,-8.15,121.19,59,2,7
4.6,10,-4.03,142.28,185,2,10
2.8,10,-8.28,121.17,46,2,7
3.4,11,-8.27,121.18,47,2,7
3.7,24,-6.87,105.25,43,2,22
3.1,92,-8.85,115.67,45,2,23
4.8,100,-8.99,115.71,57,2,23
3.7,10,-8.29,121.18,45,2,7
2.7,14,-8.38,121.17,36,2,7
3.3,10,-8.29,121.19,44,2,7
3.1,10,-8.25,121.2,48,2,7
3.1,15,-10.49,123.81,56,2,7
3.6,14,-8.07,121.22,67,2,7
3.3,10,-8.76,121.24,12,2,7
3.9,10,-8.26,121.19,47,2,7
5.9,11,-8.18,121.19,56,2,7
5.6,11,-8.26,121.2,47,2,7
4.0,50,-4.29,131.11,148,2,6
4.3,484,3.65,123.53,217,2,15
4.1,10,-8.37,116.89,8,2,8
5.0,71,-4.06,141.46,111,2,10
5.1,61,-4.04,141.49,111,2,10
5.5,52,-4.04,141.55,116,2,10
5.2,61,-4.04,141.49,111,2,10
5.1,61,-4.04,141.49,111,2,10
4.7,10,-9.04,107.17,209,2,4
4.0,40,-9.48,119.63,16,2,7
3.5,16,3.64,126.88,45,2,15
2.9,58,-10.05,123.76,15,2,7
3.8,14,2.65,95.75,71,2,24
3.3,54,-0.19,101.25,38,2,25
4.4,126,5.61,127.0,182,2,15
3.5,11,-3.01,100.64,71,2,13
5.9,160,-6.16,130.3,230,2,26
6.0,166,-6.1,130.29,236,2,27
3.8,169,-8.34,121.8,55,2,7
3.2,25,1.34,126.25,125,2,15
3.8,10,-1.1,121.5,4,2,11
3.2,20,-9.26,118.13,88,2,8
3.9,10,-1.34,126.33,84,2,5
3.7,199,-3.13,102.89,19,2,28
3.1,12,-9.7,123.68,39,2,7
3.3,10,-2.43,121.21,17,2,17
3.2,85,-8.8,119.43,61,2,7
3.9,11,-5.05,102.23,33,2,13
4.6,153,6.19,126.08,252,2,15
3.5,10,-6.34,104.89,84,2,22
3.2,10,-10.07,123.66,26,2,7
5.0,99,-4.13,143.45,311,2,10
4.2,23,-1.45,126.33,74,2,5
3.5,100,-9.07,119.01,40,2,7
4.3,10,-0.63,135.81,21,2,10
3.4,12,-10.19,124.03,27,2,7
4.1,53,-1.44,100.5,13,2,21
2.4,121,2.13,98.97,12,2,2
5.4,10,-3.96,133.82,75,2,1
5.4,10,-3.97,133.8,77,2,1
3.4,10,-10.05,119.75,41,2,7
3.7,251,0.54,100.84,56,2,25
4.0,10,0.23,126.51,112,2,5
3.4,220,0.12,122.86,55,2,12
3.2,124,0.23,122.49,36,2,12
4.8,158,-7.56,128.76,126,2,14
3.3,16,-10.4,120.23,9,2,7
2.7,95,-8.73,119.0,40,2,8
3.6,89,-8.92,123.81,61,2,7
4.0,557,-7.24,123.42,129,2,7
3.6,10,-1.09,121.51,3,2,11
3.1,130,0.98,99.56,12,2,2
3.3,194,0.03,100.84,28,2,21
3.1,11,-10.15,118.81,64,2,7
3.1,10,-0.28,99.58,50,2,21
2.8,77,-1.36,100.83,28,2,21
3.8,146,2.3,128.22,29,2,5
4.7,57,14.32,121.19,1280,1,29
3.5,10,-8.44,116.97,5,2,8
4.0,10,-4.57,133.97,135,2,6
3.6,27,3.82,126.86,28,2,15
2.3,10,-1.09,121.49,5,2,11
1.7,10,-9.66,124.71,26,2,7
2.4,10,-1.1,121.51,3,2,11
3.7,12,-1.06,121.55,4,2,11
3.7,12,-1.06,121.55,4,2,11
3.5,11,-1.45,99.28,70,2,21
3.0,10,-1.06,121.5,5,2,11
3.8,10,-1.09,121.47,7,2,11
4.7,10,-1.11,121.47,7,3,11
2.6,11,-1.07,121.46,9,2,11
3.3,10,-1.08,121.5,4,2,11
5.4,10,-1.1,121.45,9,3,11
5.4,10,-1.11,121.49,5,4,11
3.7,10,-1.08,121.49,5,2,11
4.6,10,-1.08,121.5,4,3,11
2.8,34,-1.1,119.79,33,2,11
3.0,10,1.35,121.33,42,2,11
4.3,483,3.78,123.05,271,2,15
4.7,10,6.03,125.89,242,2,15
2.3,15,-7.8,118.53,75,2,8
2.3,63,-4.49,103.09,19,2,18
2.7,172,-8.28,119.9,23,2,7
3.8,13,-0.89,98.8,150,2,21
2.7,10,1.08,121.27,15,2,11
3.8,18,3.74,127.0,46,2,15
4.2,10,-8.22,121.18,52,2,7
3.0,46,1.44,126.89,76,2,5
2.8,11,-2.38,140.58,105,2,10
3.2,110,-8.56,118.39,8,2,8
2.9,80,-8.89,124.26,72,2,7
3.5,30,-6.89,104.97,72,2,22
3.4,10,-2.86,129.98,62,2,6
3.9,10,-2.75,141.21,82,2,10
3.6,12,-8.27,115.53,8,2,23
4.3,108,-8.62,118.38,13,2,8
3.0,131,-0.11,123.3,74,2,12
3.2,136,-0.08,123.13,68,2,12
4.4,74,1.66,125.75,73,2,15
2.8,108,-8.54,118.38,9,2,8
3.3,10,-3.35,128.75,23,2,3
3.1,10,-7.99,110.47,15,2,30
3.6,102,-8.48,112.29,39,2,31
3.2,82,-0.25,122.9,91,2,12
2.8,10,-8.29,116.56,40,2,8
4.1,10,5.14,93.86,182,2,24
3.2,13,-1.17,120.58,31,2,11
3.0,10,-1.5,133.83,60,2,1
5.1,48,4.33,125.81,87,2,15
2.4,10,-1.57,120.48,36,2,11
4.1,229,-4.8,129.43,174,2,3
3.7,26,1.07,126.36,116,2,5
3.2,26,-8.11,107.9,80,2,4
4.6,271,-6.42,128.8,222,2,14
3.5,15,-8.43,105.61,179,2,22
3.8,66,-8.97,124.05,81,2,7
2.9,29,-2.75,140.35,61,2,10
3.0,10,-10.42,123.8,48,2,7
3.6,10,-9.82,116.27,123,2,8
3.5,33,1.52,126.54,114,2,5
2.0,10,-0.1,100.32,23,2,21
2.8,25,-7.65,106.56,73,2,4
