date,mag,depth,prov,prov_enco,kmeans,kmedoids
Nov,2.5,10,MALUKU,1,2,4
Nov,3.1,10,MALUKU,1,2,4
Nov,4.7,51,PAPUA,2,0,3
Nov,3.0,26,SULUT,3,0,3
Nov,3.8,132,SULUT,3,0,0
Nov,2.6,188,NTT,4,0,0
Nov,3.6,10,MALUKU,1,1,1
Nov,4.6,10,MALUT,5,1,2
Nov,3.8,10,SULSEL,6,1,1
Nov,3.2,42,SULUT,3,0,0
Nov,3.9,143,NTT,4,0,0
Nov,2.6,10,GORONTALO,7,2,4
Nov,2.6,81,GORONTALO,7,0,0
Nov,2.4,13,ACEH,8,2,3
Nov,2.7,11,SUMUT,9,2,4
Nov,3.9,19,LAMPUNG,10,2,3
Nov,5.1,61,PAPUA,2,0,0
Nov,2.4,10,SULBAR,11,2,4
Nov,2.4,85,SULTENG,12,0,0
Nov,3.2,89,SULUT,3,0,0
Nov,3.7,10,ACEH,8,1,1
Nov,2.7,21,JABAR,13,0,3
Nov,2.9,12,NTB,14,2,4
Nov,3.0,10,MALUKU,1,2,4
Nov,2.3,104,NTT,4,0,0
Nov,2.5,26,SULUT,3,0,3
Nov,3.2,119,MALUT,5,0,0
Nov,3.9,144,NTT,4,0,0
Nov,4.3,209,MALUKUBRTDAYA,15,0,0
Nov,3.1,10,SULUT,3,2,4
Nov,3.2,10,MALUKU,1,2,4
Nov,4.0,10,MALUKU,1,1,1
Nov,4.1,10,MALUT,5,1,1
Nov,4.4,163,NTT,4,0,0
Nov,2.3,14,JABAR,13,0,3
Nov,2.2,10,MALUKU,1,2,4
Nov,3.3,10,MALUT,5,2,1
Nov,3.4,299,GORONTALO,7,0,0
Nov,3.5,10,SULSEL,6,1,1
Nov,4.6,10,MALUT,5,1,2
Nov,5.0,10,MALUT,5,1,2
Nov,4.9,10,MALUT,5,1,2
Nov,4.7,175,PAPUA,2,0,0
Nov,3.4,66,MALUT,5,0,0
Nov,2.5,10,SULSEL,6,2,4
Nov,3.4,10,ACEH,8,2,1
Nov,3.4,10,MALUKU,1,2,1
Nov,2.6,16,MALUKU,1,0,3
Nov,2.4,10,NTT,4,2,4
Nov,2.8,10,MALUKU,1,2,4
Nov,3.2,10,MALUT,5,2,4
Nov,4.5,207,MALUT,5,0,0
Nov,3.4,16,NTT,4,2,4
Nov,3.3,10,NTT,4,2,1
Nov,4.3,10,PAPUA,2,1,2
Nov,2.5,31,GORONTALO,7,0,0
Nov,3.2,41,NTT,4,0,0
Nov,3.5,22,NTT,4,0,3
Nov,3.0,21,NTT,4,0,3
Nov,2.9,10,PAPUA,2,2,4
Nov,4.3,14,PAPUA,2,2,4
Nov,2.8,41,SULTENG,12,0,0
Nov,3.9,22,SULTENG,12,2,3
Nov,2.3,163,NTT,4,0,0
Nov,3.1,23,NTT,4,0,3
Nov,3.4,121,MALUT,5,0,0
Nov,3.1,10,SULBAR,11,2,4
Nov,3.9,13,NTB,14,2,4
Nov,3.1,51,NTT,4,0,0
Nov,3.6,272,MALUKUTENGAH,16,0,0
Nov,3.0,14,SULBAR,11,2,4
Nov,2.8,21,NTT,4,0,3
Nov,2.5,12,BANTEN,17,2,3
Nov,3.7,10,SULUT,3,1,1
Nov,4.3,175,MALUKUTENGGARABRT,18,0,0
Nov,3.5,21,MALUT,5,2,3
Nov,5.2,132,MALUT,5,0,0
Nov,4.7,132,MALUT,5,0,0
Nov,3.1,21,NTT,4,0,3
Nov,3.6,10,JABAR,13,1,1
Nov,3.0,50,NTT,4,0,0
Nov,1.8,104,DIY,19,0,0
Nov,3.2,12,PAPUA,2,2,4
Nov,3.2,16,BANTEN,17,2,3
Nov,3.6,69,SULTENG,12,0,0
Nov,4.4,10,NTT,4,1,2
Nov,3.5,10,SULBAR,11,1,1
Nov,3.7,45,NTT,4,0,0
Nov,3.0,154,NTT,4,0,0
Nov,3.1,10,JABAR,13,2,4
Nov,2.8,17,PAPUA,2,2,3
Nov,3.3,10,BANTEN,17,2,1
Nov,3.7,153,GORONTALO,7,0,0
Nov,3.4,223,NTB,14,0,0
Nov,4.3,10,MALUKUBRTDAYA,15,1,2
Nov,2.8,10,PAPUA,2,2,4
Nov,2.5,238,GORONTALO,7,0,0
Nov,3.8,31,SULUT,3,0,3
Nov,3.1,10,PAPUA,2,2,4
Nov,2.9,85,MALUT,5,0,0
Nov,2.4,16,SULTENG,12,0,3
Nov,4.6,130,SULUT,3,0,0
Nov,2.3,5,SULTENG,12,1,2
Nov,3.4,99,SULUT,3,0,0
Nov,2.0,5,SULTENG,12,1,1
Nov,4.6,5,PAPUA,2,1,2
Nov,3.1,27,SULUT,3,0,3
Nov,2.1,5,NTT,4,1,1
Nov,3.4,534,MALUT,5,0,0
Nov,3.0,5,PAPUABRT,20,1,2
Nov,2.4,153,NTB,14,0,0
Nov,2.5,18,GORONTALO,7,0,3
Nov,4.8,148,PAPUA,2,0,0
Nov,2.8,15,SUMUT,9,2,3
Nov,3.3,19,PAPUA,2,2,3
Nov,3.3,10,MALUKU,1,2,1
Nov,2.6,5,PAPUABRT,20,1,2
Nov,2.6,5,SULTENG,12,1,2
Nov,3.8,142,GORONTALO,7,0,0
Nov,3.3,205,MALUT,5,0,0
Nov,2.8,10,SULSEL,6,2,4
Nov,2.8,102,GORONTALO,7,0,0
Nov,3.6,19,JABAR,13,2,3
Nov,3.7,73,MALUKU,1,0,0
Nov,3.4,21,MALUKU,1,0,3
Nov,3.7,32,MALUKU,1,0,3
Nov,3.2,10,MALUKU,1,2,4
Nov,3.9,10,SUMBAR,21,1,1
Nov,2.3,52,NTT,4,0,0
Nov,2.8,150,MALUKU,1,0,0
Nov,3.9,10,MALUKUTENGGARABRT,18,1,1
Nov,2.6,102,GORONTALO,7,0,0
Nov,3.3,111,PAPUA,2,0,0
Nov,4.2,127,MALUKUBRTDAYA,15,0,0
Nov,3.6,138,MALUKUBRTDAYA,15,0,0
Nov,4.6,10,SULUT,3,1,2
Nov,3.5,16,NTT,4,2,4
Nov,3.0,11,SULUT,3,2,4
Nov,4.2,148,MALUKUTENGGARABRT,18,0,0
Nov,2.7,10,MALUT,5,2,4
Nov,3.3,11,NTT,4,2,4
Nov,3.7,10,NTT,4,1,1
Nov,4.8,77,MALUKUTENGGARA,22,0,0
Nov,2.3,12,NTB,14,2,3
Nov,2.5,69,GORONTALO,7,0,0
Nov,2.5,10,NTT,4,2,4
Nov,2.2,27,NTT,4,0,0
Nov,2.4,45,NTT,4,0,0
Nov,2.5,13,NTB,14,2,3
Nov,2.7,504,NTT,4,0,0
Nov,2.6,55,ACEHBARAT,23,0,0
Nov,2.7,19,NTT,4,0,3
Nov,4.2,69,GORONTALO,7,0,0
Nov,4.1,18,JABAR,13,2,4
Nov,2.9,17,NTT,4,2,3
Nov,3.8,20,NTT,4,2,3
Nov,3.3,10,NTT,4,2,1
Nov,3.9,197,MALUKUTENGGARABRT,18,0,0
Nov,4.2,15,NTT,4,2,4
Nov,2.9,90,NTT,4,0,0
Nov,3.6,10,NTT,4,1,1
Nov,2.9,10,NTT,4,2,4
Nov,3.9,15,NTT,4,2,4
Nov,4.0,14,PAPUA,2,2,4
Nov,3.7,10,SULUT,3,1,1
Nov,2.7,10,BALI,24,2,4
Nov,3.0,25,NTT,4,0,3
Nov,3.5,31,SULUT,3,0,3
Nov,2.2,10,PAPUA,2,2,4
Nov,2.2,26,NTT,4,0,0
Nov,4.2,10,SULUT,3,1,1
Nov,1.8,16,NTT,4,0,3
Nov,3.6,31,SUMBAR,21,0,3
Nov,2.6,10,MALUKU,1,2,4
Nov,2.7,10,MALUKU,1,2,4
Nov,3.2,13,PAPUA,2,2,4
