mag,depth,rad,prov,lat,lon,prov_enco
3.6,10,74,PAPUABRT,-3.92,133.71,1
2.6,164,3,SUMUT,1.49,99.64,2
4.5,182,165,MALUKUTENGAH,-4.6,129.69,3
3.2,10,116,JABAR,-8.5,107.82,4
5.0,11,129,MALUT,1.96,126.6,5
3.2,19,39,MALUKU,-2.87,127.9,6
3.1,37,12,NTT,-9.28,119.17,7
3.5,75,55,NTB,-8.97,118.7,8
4.0,10,30,ACEHTENGAH,4.35,96.81,9
3.7,11,80,PAPUA,-2.14,139.85,10
3.2,10,49,SULTENG,-1.61,120.36,11
2.7,10,55,SULTENG,-1.12,120.31,11
3.1,14,88,GORONTALO,-0.21,121.52,12
3.3,10,14,BENGKULU,-3.57,102.44,13
4.1,15,96,SUMUT,0.26,96.96,2
3.1,10,42,NTT,-10.06,119.76,7
3.3,10,43,NTT,-10.06,119.72,7
3.0,10,59,SUMUT,0.45,98.33,2
4.7,191,180,MALUKUBRTDAYA,-7.38,129.22,14
3.2,10,34,MALUKUTENGAH,-3.38,128.66,3
3.3,10,45,SULTENG,1.22,120.98,11
2.1,16,47,MALUKUTENGAH,-2.88,128.88,3
2.3,10,36,NTB,-8.77,118.85,8
3.6,134,27,PAPUA,-3.37,138.08,10
5.1,106,490,SULUT,8.32,127.56,15
3.3,200,53,MALUT,2.43,128.59,5
4.7,190,50,SULUT,3.51,125.93,15
3.4,10,177,JABAR,-8.75,107.29,4
4.1,28,40,NTT,-9.94,118.89,7
2.9,129,41,GORONTALO,0.26,122.61,12
3.6,10,48,NTT,-8.69,124.37,7
3.0,15,36,NTT,-10.02,119.82,7
3.9,10,126,LAMPUNG,-6.28,103.6,16
3.1,10,13,SULSEL,-2.51,121.27,17
3.0,28,45,BENGKULUSELATAN,-4.85,102.83,18
5.2,121,221,PAPUA,-4.14,142.59,10
3.4,14,124,LAMPUNG,-6.28,103.69,16
3.6,10,74,PAPUABRT,-3.94,133.78,1
3.4,30,143,MALUT,1.79,126.38,5
3.5,10,103,PAPUA,-2.32,140.51,10
3.8,10,47,JAMBI,-2.51,102.25,19
3.0,55,66,JABAR,-7.9,107.86,4
3.4,11,70,NTB,-9.31,116.02,8
4.3,10,88,SULUT,1.65,123.58,15
2.5,59,48,SUMUT,1.92,98.39,2
3.8,10,9,MALUKU,-3.05,130.55,6
2.4,10,22,SUMBAR,-0.11,100.32,20
3.0,55,79,GORONTALO,-0.16,122.96,12
2.8,10,19,SULSEL,-2.48,121.03,17
2.2,16,22,JABAR,-7.13,107.7,4
4.0,187,61,MALUT,2.6,128.27,5
3.0,125,68,GORONTALO,-0.08,123.08,12
3.1,10,183,BANTEN,-8.57,106.06,21
2.3,424,36,GORONTALO,0.84,122.23,12
4.5,10,36,MALUT,1.63,128.56,5
4.7,159,104,SULUT,4.58,125.94,15
4.2,10,285,SUMBAR,-4.57,99.22,20
4.9,122,43,NTB,-8.58,119.12,8
5.7,10,424,PAPUA,-3.2,144.58,10
3.2,10,96,PAPUABRT,-1.99,134.29,1
3.1,10,50,NTT,-8.24,121.17,7
3.9,10,50,NTT,-8.25,121.15,7
3.5,10,59,NTT,-8.15,121.19,7
4.6,10,185,PAPUA,-4.03,142.28,10
2.8,10,46,NTT,-8.28,121.17,7
3.4,11,47,NTT,-8.27,121.18,7
3.7,24,43,BANTEN,-6.87,105.25,21
3.1,92,45,BALI,-8.85,115.67,22
4.8,100,57,BALI,-8.99,115.71,22
3.7,10,45,NTT,-8.29,121.18,7
2.7,14,36,NTT,-8.38,121.17,7
3.3,10,44,NTT,-8.29,121.19,7
3.1,10,48,NTT,-8.25,121.2,7
3.1,15,56,NTT,-10.49,123.81,7
3.6,14,67,NTT,-8.07,121.22,7
3.3,10,12,NTT,-8.76,121.24,7
3.9,10,47,NTT,-8.26,121.19,7
5.9,11,56,NTT,-8.18,121.19,7
4.0,50,148,MALUKU,-4.29,131.11,6
4.3,484,217,SULUT,3.65,123.53,15
4.1,10,8,NTB,-8.37,116.89,8
5.0,71,111,PAPUA,-4.06,141.46,10
5.1,61,111,PAPUA,-4.04,141.49,10
5.5,52,116,PAPUA,-4.04,141.55,10
5.1,61,111,PAPUA,-4.04,141.49,10
4.7,10,209,JABAR,-9.04,107.17,4
4.0,40,16,NTT,-9.48,119.63,7
3.5,16,45,SULUT,3.64,126.88,15
2.9,58,15,NTT,-10.05,123.76,7
3.8,14,71,ACEH,2.65,95.75,23
3.3,54,38,RIAU,-0.19,101.25,24
4.4,126,182,SULUT,5.61,127.0,15
3.5,11,71,BENGKULU,-3.01,100.64,13
6.0,166,236,MALUKUTENGGARABRT,-6.1,130.29,25
3.8,169,55,NTT,-8.34,121.8,7
3.2,25,125,SULUT,1.34,126.25,15
3.8,10,4,SULTENG,-1.1,121.5,11
3.2,20,88,NTB,-9.26,118.13,8
3.9,10,84,MALUT,-1.34,126.33,5
3.7,199,19,SUMSEL,-3.13,102.89,26
3.1,12,39,NTT,-9.7,123.68,7
3.3,10,17,SULSEL,-2.43,121.21,17
3.2,85,61,NTT,-8.8,119.43,7
