created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,
"Sun Dec 31 23:18:11 +0000 2023;1741599661587329035;""#Gempa Mag:2.9", 01-Jan-2024 06:11:23WIB, Lok:1.89LS, 122.53BT (85 km BaratDaya BANGGAIKEP-SULTENG), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/rSZyiVhICu"";0;0;4;30;in;108543358;1741599661587329035;infoBMKG;https://twitter.com/infoBMKG/status/1741599661587329035",,,,,
"Sun Dec 31 07:38:09 +0000 2023;1741363093769482447;""#Gempa Mag:4.1", 31-Dec-2023 14:35:34WIB, Lok:6.84LS, 107.93BT (2 km TimurLaut KAB-SUMEDANG-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/PJbjiITgYa"";1281;1016;1496;4468;in;108543358;1741363093769482447;infoBMKG;https://twitter.com/infoBMKG/status/1741363093769482447",,,,,
"Sun Dec 31 05:48:08 +0000 2023;1741335406568964400;""#Gempa Mag:2.9", 31-Dec-2023 12:43:38WIB, Lok:6.74LS, 106.60BT (27 km BaratDaya KOTA-BOGOR-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/c3sNmsEHga"";8;4;44;143;in;108543358;1741335406568964400;infoBMKG;https://twitter.com/infoBMKG/status/1741335406568964400",,,,,
"Sun Dec 31 05:11:49 +0000 2023;1741326267675480503;""#Gempa (UPDATE) Mag:5.0", 31-Des-23 11:52:34 WIB, Lok:8.22 LS, 107.87 BT (Pusat gempa berada di Garut 90 km Barat Daya Kabupaten Pangandaran), Kedlmn:10 Km Dirasakan (MMI) II-III Garut," II Banjar #BMKG https://t.co/YaMQpyGJ5r"";10;5;46;197;in;108543358;1741326267675480503;infoBMKG;https://twitter.com/infoBMKG/status/1741326267675480503",,,,,
"Sun Dec 31 05:11:40 +0000 2023;1741326231558312212;""#Gempa Dirasakan Magnitudo: 5.0", Kedalaman: 10 km, 31 Des 2023 11:52:34 WIB," Koordinat: 8.22 LS-107.87 BT (Pusat gempa berada di Garut 90 km Barat Daya Kabupaten Pangandaran) #BMKG https://t.co/OiHiTwvX8x"";2;0;6;19;in;108543358;1741326231558312212;infoBMKG;https://twitter.com/infoBMKG/status/1741326231558312212",,,,,,,
"Sun Dec 31 04:55:37 +0000 2023;1741322194054169005;""#Gempa Mag:5.0", 31-Des-23 11:52:34 WIB, Lok:8.22 LS,107.87 BT (90 km BaratDaya KAB-PANGANDARAN-JABAR), Kedlmn:10 Km," tdk berpotensi tsunami #BMKG https://t.co/iCTrBaoxs3"";230;225;343;1319;in;108543358;1741322194054169005;infoBMKG;https://twitter.com/infoBMKG/status/1741322194054169005",,,,,
"Sun Dec 31 04:55:34 +0000 2023;1741322180624069019;""#Gempa Magnitudo: 5.0", Kedalaman: 10 km, 31 Des 2023 11:52:34 WIB, Koordinat: 8.22 LS-107.87 BT (90 km BaratDaya KAB-PANGANDARAN-JABAR)," Tidak berpotensi tsunami #BMKG https://t.co/OiHiTwvX8x"";10;6;21;102;in;108543358;1741322180624069019;infoBMKG;https://twitter.com/infoBMKG/status/1741322180624069019",,,,,,
"Sun Dec 31 04:55:14 +0000 2023;1741322095194456347;""#Gempa Mag:5.0", 31-Dec-2023 11:52:33WIB, Lok:8.25LS, 107.86BT (93 km BaratDaya KAB-PANGANDARAN-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/LmQwks00RA"";110;180;434;1408;in;108543358;1741322095194456347;infoBMKG;https://twitter.com/infoBMKG/status/1741322095194456347",,,,,
"Sun Dec 31 03:55:09 +0000 2023;1741306973797355657;""#Gempa Mag:2.8", 31-Dec-2023 10:52:22WIB, Lok:8.62LS, 116.58BT (6 km TimurLaut LOMBOKTIMUR-NTB), Kedlmn:15 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/fJMVySiNDW"";0;0;1;16;in;108543358;1741306973797355657;infoBMKG;https://twitter.com/infoBMKG/status/1741306973797355657",,,,,
"Sun Dec 31 01:46:11 +0000 2023;1741274518356988127;""#Gempa Mag:2.5", 31-Dec-2023 08:43:58WIB, Lok:3.36LS, 128.05BT (36 km BaratDaya SERAMBAGIANBARAT-MALUKU), Kedlmn:51 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/qXpVCe3okv"";0;0;1;15;in;108543358;1741274518356988127;infoBMKG;https://twitter.com/infoBMKG/status/1741274518356988127",,,,,
