created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thu Nov 30 18:26:10 +0000 2023;1730292150531977704;""#Gempa Mag:2.5", 01-Dec-2023 01:20:59WIB, Lok:2.77LS, 127.97BT (41 km BaratLaut SERAMBAGIANBARAT-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Fo3yrVw1FN"";0;3;22;48;in;108543358;1730292150531977704;infoBMKG;https://twitter.com/infoBMKG/status/1730292150531977704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 18:24:10 +0000 2023;1730291647693648040;""#Gempa Mag:3.1", 01-Dec-2023 01:18:16WIB, Lok:2.75LS, 128.03BT (39 km BaratLaut SERAMBAGIANBARAT-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/0aqIm4ee9u"";0;0;2;10;in;108543358;1730291647693648040;infoBMKG;https://twitter.com/infoBMKG/status/1730291647693648040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 17:46:09 +0000 2023;1730282081237004487;""#Gempa Mag:4.7", 01-Dec-2023 00:39:13WIB, Lok:4.04LS, 146.03BT (590 km Tenggara KEEROM-PAPUA), Kedlmn:51 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/jyc7Kb6t7N"";0;0;2;10;in;108543358;1730282081237004487;infoBMKG;https://twitter.com/infoBMKG/status/1730282081237004487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 17:11:09 +0000 2023;1730273272284246274;""#Gempa Mag:3.0", 01-Dec-2023 00:09:03WIB, Lok:1.28LU, 126.18BT (118 km Tenggara BITUNG-SULUT), Kedlmn:26 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/NsNwn65i6Y"";1;0;1;8;in;108543358;1730273272284246274;infoBMKG;https://twitter.com/infoBMKG/status/1730273272284246274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 16:51:11 +0000 2023;1730268247348670615;""#Gempa Mag:3.8", 30-Nov-2023 23:48:19WIB, Lok:6.10LU, 126.33BT (236 km BaratLaut MELONGUANE-SULUT), Kedlmn:132 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/NlQD8xDF9n"";0;2;2;13;in;108543358;1730268247348670615;infoBMKG;https://twitter.com/infoBMKG/status/1730268247348670615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 15:19:10 +0000 2023;1730245091497849316;""#Gempa Mag:2.6", 30-Nov-2023 22:16:18WIB, Lok:8.15LS, 119.81BT (39 km BaratLaut LABUANBAJO-NTT), Kedlmn:188 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/OYjHlmV4gB"";0;0;3;12;in;108543358;1730245091497849316;infoBMKG;https://twitter.com/infoBMKG/status/1730245091497849316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 14:43:11 +0000 2023;1730236033726304743;""#Gempa Mag:3.6", 30-Nov-2023 21:39:36WIB, Lok:2.76LS, 129.91BT (74 km BaratLaut SERAMBAGIANTIMUR-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/xaM9Xy2Yfo"";0;0;3;13;in;108543358;1730236033726304743;infoBMKG;https://twitter.com/infoBMKG/status/1730236033726304743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 12:07:09 +0000 2023;1730196766161850769;""#Gempa Mag:4.6", 30-Nov-2023 19:03:19WIB, Lok:2.02LU, 129.01BT (79 km Tenggara DARUBA-MALUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/yQ1p6cYJVy"";0;0;5;19;in;108543358;1730196766161850769;infoBMKG;https://twitter.com/infoBMKG/status/1730196766161850769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 11:02:10 +0000 2023;1730180415481426417;""#Gempa Mag:3.8", 30-Nov-2023 17:56:13WIB, Lok:2.41LS, 120.89BT (36 km BaratLaut LUWUTIMUR-SULSEL), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Nkdp43F46z"";0;1;12;17;in;108543358;1730180415481426417;infoBMKG;https://twitter.com/infoBMKG/status/1730180415481426417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 10:31:10 +0000 2023;1730172611139871144;""#Gempa Mag:3.2", 30-Nov-2023 17:26:59WIB, Lok:4.04LU, 126.63BT (6 km BaratLaut MELONGUANE-SULUT), Kedlmn:42 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/I1VoQvhYox"";0;0;2;22;in;108543358;1730172611139871144;infoBMKG;https://twitter.com/infoBMKG/status/1730172611139871144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
